Longitude,Latitude,Name,Location,City,State,Zip,Phone,Fax,Location,Lat Long
35111,33.2796,AL-Petro Bucksville,I-20/I-59- Exit 100 (Hwy 216),McCalla,AL,-87.0919,(205) 477-9178,(205) 477-0124,"McCalla, AL","33.2796, -87.0919"
35077,34.0504,AL-Petro Dodge City,I-65- Exit 299 (Hwy 69),Hanceville,AL,-86.8721,256-287-1299,256-734-2249,"Hanceville, AL","34.0504, -86.8721"
35904,33.9956,AL-Petro Gadsden,I-59- Exit 181 (Hwy 77),Gadsden,AL,-86.0827,(256) 413-7135,(256) 413-7330,"Gadsden, AL","33.9956, -86.0827"
36075,32.4056,AL-Petro Shorter,I-85- Exit 22 (Hwy 80),Shorter,AL,-85.9556,(334) 727-3354,(334) 727-3576,"Shorter, AL","32.4056, -85.9556"
72117,34.781,AR-Petro North Little Rock,I-40- Exit 161 (Hwy 391 N.),North Little Rock,AR,-92.1298,(501) 945-3206,(501) 955-4008,"North Little Rock, AR","34.781, -92.1298"
72301,35.1544,AR-Petro West Memphis/Jerry Fritts West Memphis Stopping Center,I-40- Exit 280 / I-55- Exit 4,West Memphis,AR,-90.136,(870) 702-5540,(870) 702-5547,"West Memphis, AR","35.1544, -90.136"
85222,32.8124,AZ-Petro Eloy,I-10- Exit 200 (Sunland Gin Rd.),Casa Grande,AZ,-111.67,(520) 836-3983,(520) 423-2726,"Casa Grande, AZ","32.8124, -111.67"
86401,35.1779,AZ-Petro Kingman,I-40- Exit 66 (Blake Ranch Rd.),Kingman,AZ,-113.789,(928) 681-5246,(928) 681-5245,"Kingman, AZ","35.1779, -113.789"
96021,39.9059,CA-Petro Corning,I-5- Exit 630 (South Ave.),Corning,CA,-122.197,(530) 824-4685,(530) 824-1973,"Corning, CA","39.9059, -122.197"
91761-7807,34.0647,CA-Petro Ontario/Shawn Hubbard Ontario Stopping Center,I-10- Exit 57 (Milliken Ave.),Ontario,CA,-117.557,(909) 390-7800,(909) 390-7814,"Ontario, CA","34.0647, -117.557"
95322,37.0547,CA-Petro Santa Nella,St. Hwy 152- Exit St. Hwy 33(San Luis Dr.),Santa Nella,CA,-121.016,(209) 827-8025,(209) 826-2730,"Santa Nella, CA","37.0547, -121.016"
93243,34.9861,CA-Petro Wheeler Ridge,I-5- Exit 219A/219B (Laval Rd. W.),Lebec,CA,-118.948,(661) 663-4341,(661) 663-4348,"Lebec, CA","34.9861, -118.948"
80534,40.363,CO-Petro Johnson's Corner,I-25- Exit 254,Johnstown,CO,-104.984,970-667-2069,970-667-8669,"Johnstown, CO","40.363, -104.984"
32686,29.409,FL-Petro Ocala,I-75- Exit 368 (Hwy 318),Reddick,FL,-82.2462,(352) 591-1881,(352) 591-8639,"Reddick, FL","29.409, -82.2462"
30318,33.7865,GA-Petro Atlanta,I-285- Exit 12 (Donald Lee Hollowell Hwy),Atlanta,GA,-84.4905,(404) 794-7772,(404) 792-6941,"Atlanta, GA","33.7865, -84.4905"
30521,34.3481,GA-Petro Carnesville,I-85- Exit 160,Carnesville,GA,-83.3199,706-335-1980,706-335-2075,"Carnesville, GA","34.3481, -83.3199"
31548,30.7942,GA-Petro Kingsland,I-95- Exit 3,Kingsland,GA,-81.6662,(912) 882-3111,(912) 882-3050,"Kingsland, GA","30.7942, -81.6662"
62401,39.1197,IL-Petro Effingham,I-70/I-57 Exit 159 (West Fayette Ave.),Effingham,IL,-88.5723,(217) 347-0480,(217) 540-2939,"Effingham, IL","39.1197, -88.5723"
60449,41.4258,IL-Petro Monee,I-57- Exit 335,Monee,IL,-87.7549,(708) 534-0400,(708) 534-8489,"Monee, IL","41.4258, -87.7549"
61068,41.9356,IL-Petro Rochelle,I-39- Exit 99 (Rt. 38),Rochelle,IL,-89.0335,(815) 562-3716,(815) 562-5225,"Rochelle, IL","41.9356, -89.0335"
46737,41.7483,IN-Petro Angola,I-69- Exit 157/357 (Lake George Rd.),Fremont,IN,-84.9932,(260) 495-2523,(260) 495-2221,"Fremont, IN","41.7483, -84.9932"
47834,39.4455,IN-Petro Brazil,I-70- Exit 23,Brazil,IN,-87.127,(812) 446-2296,(812) 448-1440,"Brazil, IN","39.4455, -87.127"
46408,41.5638,IN-Petro Gary,I-80/I-94- Exit 9,Gary,IN,-87.3557,(219) 884-1133,(219) 980-2536,"Gary, IN","41.5638, -87.3557"
47342,40.2772,IN-Petro Gaston,I-69- Exit 245,Gaston,IN,-85.5526,(765) 358-3326,(765) 358-0207,"Gaston, IN","40.2772, -85.5526"
47240,39.3184,IN-Petro Greensburg,I-74- Exit 143,Greensburg,IN,-85.3277,(812) 663-2333,(812) 663-4270,"Greensburg, IN","39.3184, -85.3277"
47977,40.767,IN-Petro Remington,I-65- Exit 201 (Hwy 24),Remington,IN,-87.1261,(219) 261-2172,(219) 261-2025,"Remington, IN","40.767, -87.1261"
67701,39.3617,KS-Petro Colby,I-70- Exit 53,Colby,KS,-101.054,(785) 460-0044,(785) 460-0045,"Colby, KS","39.3617, -101.054"
67401,38.8789,KS-Petro Salina,I-70- Exit 252,Salina,KS,-97.613,(785) 825-7723,(785) 827-8992,"Salina, KS","38.8789, -97.613"
42134,36.7163,KY-Petro Franklin -Petro:Lube Only,I-65- Exit 6,Franklin,KY,-86.5244,,,"Franklin, KY","36.7163, -86.5244"
42740,37.5984,KY-Petro Glendale,I-65- Exit 86,Glendale,KY,-85.8734,(270) 369-6840,(270) 369-6848,"Glendale, KY","37.5984, -85.8734"
70501,30.2314,LA-Petro Egan,I-10- Exit 76,Egan,LA,-92.4624,(337) 783-0424,(337) 783-6946,"Egan, LA","30.2314, -92.4624"
70403,30.477,LA-Petro Hammond,I-12- Exit 40 (Hwy 51),Hammond,LA,-90.4579,(985) 542-4981,(985) 429-5951,"Hammond, LA","30.477, -90.4579"
71129,32.4446,LA-Petro Shreveport,I-20- Exit 8 (Industrial Loop),Shreveport,LA,-93.901,(318) 686-6111,(318) 671-6534,"Shreveport, LA","32.4446, -93.901"
56007,43.6577,MN-Petro Albert Lea,I-90/I-35- Exit 11,Albert Lea,MN,-93.3157,507-373-4200,507-379-2645,"Albert Lea, MN","43.6577, -93.3157"
55320,45.4126,MN-Petro Clearwater,I-94- Exit 178 (Hwy 24),Clearwater,MN,-94.0549,(320) 558-2261,(320) 558-6505,"Clearwater, MN","45.4126, -94.0549"
64803,37.0072,MO-Petro Joplin,I-44- Exit 4 (Hwy 43),Joplin,MO,-94.5523,(417) 624-3400,(417) 623-0759,"Joplin, MO","37.0072, -94.5523"
65262,38.9405,MO-Petro Kingdom City,I-70- Exit 148 (Hwy 54),Kingdom City,MO,-91.9399,(573) 642-0676,(573) 592-1832,"Kingdom City, MO","38.9405, -91.9399"
64075,39.015,MO-Petro Oak Grove,I-70- Exit 28,Oak Grove,MO,-94.131,(816) 690-4455,(816) 625-4596,"Oak Grove, MO","39.015, -94.131"
39201,32.2787,MS-Petro Jackson,I-20/I-55- Exit 45(E); 45A(W) (W. Frontage Rd.),Jackson,MS,-90.1977,(601) 292-0940,(601) 292-0947,"Jackson, MS","32.2787, -90.1977"
27542,35.582,NC-Petro Kenly,I-95- Exit 106 (Truckstop Rd.),Kenly,NC,-78.1457,(919) 284-5121,(919) 284-5092,"Kenly, NC","35.582, -78.1457"
27302,36.0772,NC-Petro Mebane,I-40/ 85- Exit 157,Mebane,NC,-79.2251,(919) 304-7476,(919) 304-8136,"Mebane, NC","36.0772, -79.2251"
58103,46.8503,ND-Petro Fargo,I-94- Exit 348,Fargo,ND,-96.8632,(701) 282-8105,(701) 282-9382,"Fargo, ND","46.8503, -96.8632"
68467,40.8182,NE-Petro York/Charley Endorf York Stopping Center,I-80- Exit 353 (US Hwy 81),York,NE,-97.5989,(402) 362-1776,(402) 362-4424,"York, NE","40.8182, -97.5989"
8505,40.1234,NJ-Petro Bordentown,I-295 Exit 57- NJ Turnpike- Exit 7,Bordentown,NJ,-74.7131,(609) 298-6070,(609) 227-5033,"Bordentown, NJ","40.1234, -74.7131"
88030,32.2386,NM-Petro Deming,I-10- Exit 68,Deming,NM,-107.993,575-546-7070,575-546-4046,"Deming, NM","32.2386, -107.993"
87021,35.181,NM-Petro Milan,I-40- Exit 79 (Horizon Blvd.),Milan,NM,-107.904,(505) 285-6648,(505) 876-2830,"Milan, NM","35.181, -107.904"
89115,36.2797,NV-Petro North Las Vegas/Linda & Bob Caffee N. Las Vegas Stopping Center,I-15- Exit 54 (Speedway Blvd.),North Las Vegas,NV,-115.026,(702) 632-2640,(702) 632-2645,"North Las Vegas, NV","36.2797, -115.026"
89431,39.5233,NV-Petro Sparks,I-80- Exit 21,Sparks,NV,-119.709,(775) 355-8888,(775) 353-8605,"Sparks, NV","39.5233, -119.709"
89835,41.101,NV-Petro Wells,1440 6th. Street,Wells,NV,-114.956,775-752-2000,775-752-2022,"Wells, NV","41.101, -114.956"
13165,42.9653,NY-Petro Waterloo,I-90- Exit 41,Waterloo,NY,-76.8454,(315) 220-6550,(315) 539-9350,"Waterloo, NY","42.9653, -76.8454"
44420,41.1408,OH-Petro Girard,I-80- Exit 226 (Salt Spring Rd.),Girard,OH,-80.7172,(330) 544-6400,(330) 505-3742,"Girard, OH","41.1408, -80.7172"
43545,41.4178,OH-Petro Napoleon,US 6/24- Exit 41(Industrial Dr.),Napoleon,OH,-84.1045,(419) 599-3835,(419) 599-3833,"Napoleon, OH","41.4178, -84.1045"
45347,39.8346,OH-Petro New Paris,I-70- Exit 156B (US 40),New Paris,OH,-84.8111,(937) 437-8593,(937) 437-1066,"New Paris, OH","39.8346, -84.8111"
45872,41.1738,OH-Petro North Baltimore,I-75- Exit 167,North Baltimore,OH,-83.6475,(419) 257-3744,(419) 257-5128,"North Baltimore, OH","41.1738, -83.6475"
43551,41.5355,OH-Petro Perrysburg,I-80- Exit 71/I-280- Exit 1B,Perrysburg,OH,-83.4664,(419) 837-9725,(419) 837-3326,"Perrysburg, OH","41.5355, -83.4664"
73117,35.4662,OK-Petro Oklahoma City,I-40E/ I-35- Exit 127/I-40W- Exit 154/I-35S- Exit@ I-40E,Oklahoma City,OK,-97.4755,(405) 228-7040,(405) 228-7047,"Oklahoma City, OK","35.4662, -97.4755"
97535,42.2795,OR-Petro Phoenix,I-5- Exit 24,Phoenix,OR,-122.812,(541) 535-3372,(541) 512-3041,"Phoenix, OR","42.2795, -122.812"
17013,40.2319,PA-Petro Carlisle,I-81- Exit 52/I-76- Exit 226,Carlisle,PA,-77.1418,(717) 249-1919,(717) 258-2339,"Carlisle, PA","40.2319, -77.1418"
18641,41.3302,PA-Petro Scranton,I-81- Exit 178B,DuPont,PA,-75.7417,(570) 654-5111,(570) 654-3682,"DuPont, PA","41.3302, -75.7417"
29501,34.2665,SC-Petro Florence,I-95- Exit 169,Florence,SC,-79.7321,843-669-5736,843-269-2077,"Florence, SC","34.2665, -79.7321"
37082,36.0824,TN-Petro Kingston Springs,1-40- Exit 188 (Luyben Hills Road),Kingston Springs,TN,-87.0955,(615) 952-3208,(615) 952-6917,"Kingston Springs, TN","36.0824, -87.0955"
37922,35.875,TN-Petro Knoxville,I-40/I-75- Exit 369 (Watt Road),Knoxville,TN,-84.2361,(865) 693-6542,(865) 560-3730,"Knoxville, TN","35.875, -84.2361"
79120,35.1917,TX-Petro Amarillo,I-40- Exit 75 (Lakeside Drive),Amarillo,TX,-101.744,(806) 372-4899,(806) 378-3634,"Amarillo, TX","35.1917, -101.744"
77705,30.037,TX-Petro Beaumont,I-10- Exit 848 (Walden Road),Beaumont,TX,-94.1561,(409) 842-9600,(409) 842-7228,"Beaumont, TX","30.037, -94.1561"
76645,32.0794,TX-Petro Carl's Corner,I-35E- Exit 374 (North Side),Hillsboro,TX,-97.0552,254-714-3000,254-714-3002,"Hillsboro, TX","32.0794, -97.0552"
79927,31.6609,TX-Petro El Paso,I-10- Exit 37 (Horizon Blvd.),El Paso,TX,-106.242,(915) 790-4529,(915) 790-4528,"El Paso, TX","31.6609, -106.242"
78061,28.8996,TX-Petro Pearsall,I-35- Exit 101 (Frontage Rd.),Pearsall,TX,-99.1158,830-334-8222,830-334-2395,"Pearsall, TX","28.8996, -99.1158"
78219,29.4376,TX-Petro San Antonio,I-10- Exit 582 (Ackerman Road),San Antonio,TX,-98.3799,(210) 661-9416,(210) 662-5325,"San Antonio, TX","29.4376, -98.3799"
79835,31.9581,TX-Petro Vinton,I-10- Exit 2 (Vinton Rd.),Canutillo,TX,-106.58,(915) 886-5761,(915) 886-5767,"Canutillo, TX","31.9581, -106.58"
76086,32.7389,TX-Petro Weatherford,I-20- Exit 409 (Clear Lake Rd.),Weatherford,TX,-97.7654,(817) 599-9411,(817) 598-5524,"Weatherford, TX","32.7389, -97.7654"
24340,36.7708,VA-Petro Glade Spring,I-81- Exit 29,Glade Spring,VA,-81.7793,(276) 429-6000,(276) 429-2985,"Glade Spring, VA","36.7708, -81.7793"
24472,37.929,VA-Petro Raphine,I-81- Exit 205,Raphine,VA,-79.2292,(540) 377-2111,(540) 377-5729,"Raphine, VA","37.929, -79.2292"
99224,47.5906,WA-Petro Spokane,I-90- Exit 272,Spokane,WA,-117.561,(509) 842-1100,(509) 842-1105,"Spokane, WA","47.5906, -117.561"
53901,43.4864,WI-Petro Portage,I-90/I-94/I-39- Exit 108A (Hwy 78S),Portage,WI,-89.498,(608) 742-6551,(608) 742-6534,"Portage, WI","43.4864, -89.498"
53177,42.7251,WI-Petro Racine,I-94- Exit 333 (Hwy 20),Sturtevant,WI,-87.9561,(262) 884-7500,(262) 884-0778,"Sturtevant, WI","42.7251, -87.9561"
82070,41.3287,WY-Petro Laramie,I-80- Exit 310 (Curtis),Laramie,WY,-105.619,(307) 745-6480,(307) 721-6741,"Laramie, WY","41.3287, -105.619"
,,,,,,,,,",",
