"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
02/11/2015,,"ACH Withdrawal FLEETCOR FDR CASH CONC",-400,-672.88,,
02/12/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315",1200,527.12,,
02/13/2015,,"ACH Withdrawal PAYCHEX-RCX PAYROLL",-922.28,-395.16,,
02/16/2015,,"Analysis Charge 01 2015 Charge",-173.1,-568.26,,
02/16/2015,,"Daily Ledger Bal",,-568.26,,
02/17/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315",1000,2299.06,,
02/17/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315",17000,19299.06,,
02/17/2015,,"Alliance Payoff MMA to LOC Sweep",-19659.06,-360.00,,
02/17/2015,,"ACH Withdrawal PAYX-PIA-WC WC-PREMIUM",-5.66,-365.66,,
02/17/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-50.6,-416.26,,
02/17/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-56.95,-473.21,,
02/17/2015,,"ACH Withdrawal PAYCHEX TPS TAXES",-183.15,-656.36,,
02/17/2015,,"ACH Withdrawal GREENLIGHT PREMI INS.PMTS.",-1867.32,-2523.68,,
02/17/2015,,"Wire Out EFS (MSIOO)",-6000,-8523.68,,
02/17/2015,,"Wire Out EFS (Coop)",-10000,-18523.68,,
02/17/2015,,"Alliance Payoff LOC to MMA Sweep",19659.06,1135.38,,
02/17/2015,,"Daily Ledger Bal",,1135.38,,
02/20/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Online Transfer from",1500,2635.38,,
02/20/2015,,"Daily Ledger Bal",,2635.38,,
02/23/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Online Transfer from",10000,12635.38,,
02/23/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Online Transfer from",16000,28635.38,,
02/23/2015,,"ACH Withdrawal PAYCHEX-RCX PAYROLL",-870.5,27764.88,,
02/23/2015,,"Wire Out EFS (Coop)",-6500,21264.88,,
02/23/2015,,"Wire Out EFS (Coop)",-10000,11264.88,,
02/23/2015,,"Daily Ledger Bal",,11264.88,,
02/24/2015,,"Alliance Payoff MMA to LOC Sweep",-27653.86,-16388.98,,
02/24/2015,,"ACH Withdrawal PAYX-PIA-WC WC-PREMIUM",-5.43,-16394.41,,
02/24/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-55.54,-16449.95,,
02/24/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-59.36,-16509.31,,
02/24/2015,,"ACH Withdrawal PAYCHEX TPS TAXES",-163.03,-16672.34,,
02/24/2015,,"Wire Out EFS (MSIOO)",-10000,-26672.34,,
02/24/2015,,"Alliance Payoff LOC to MMA Sweep",27653.86,981.52,,
02/24/2015,,"Daily Ledger Bal",,981.52,,
02/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Online Transfer from",1000,1981.52,,
02/27/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Online Transfer from",8500,10481.52,,
02/27/2015,,"Alliance Payoff MMA to LOC Sweep",-8500,1981.52,,
02/27/2015,,"Wire Out EFS (Coop)",-3000,-1018.48,,
02/27/2015,,"Wire Out EFS (MSIOO)",-5500,-6518.48,,
02/27/2015,,"Alliance Payoff LOC to MMA Sweep",8500,1981.52,,
02/28/2015,,"Accr Earning Pymt Added to Account",.44,1981.96,,
02/28/2015,,"Daily Ledger Bal",,1981.96,,
03/02/2015,,"ACH Withdrawal PAYCHEX-RCX PAYROLL",-827.42,1154.54,,
03/02/2015,,"Daily Ledger Bal",,1154.54,,
03/03/2015,,"IB Transfer Deposit IB TR FROM ACCT *9315 Transfer Online to D",2000,3154.54,,
03/03/2015,,"Alliance Payoff MMA to LOC Sweep",-3102.13,52.41,,
03/03/2015,,"ACH Withdrawal PAYX-PIA-WC WC-PREMIUM",-5.38,47.03,,
03/03/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-50.6,-3.57,,
03/03/2015,,"ACH Withdrawal PAYCHEX EIB INVOICE",-56.95,-60.52,,
03/03/2015,,"ACH Withdrawal PAYCHEX TPS TAXES",-161.78,-222.30,,
03/03/2015,,"Wire Out EFS (Coop)",-2000,-2222.30,,
03/03/2015,,"Alliance Payoff LOC to MMA Sweep",3102.13,879.83,,
03/03/2015,,"Daily Ledger Bal",,879.83,,
